Which difficult emotion do you struggle with the most?,"On an average weekday, how many hours do you spend alone?",How well do you feel you manage your stress?,Would you consider yourself an introvert or an extrovert?,"When you think of a good idea, what is the first thing you usually do?","After a hard day at school, what do you usually do?",Self-care tips that might help you out
worry,More than 4,Not very well at all,Introvert,Probably forget it lol,Sleep,getting stuff done
sadness,More than 4,I'm okay at it,Introvert,Something else,Something else,getting stuff done
loneliness,3 - 4,I'm okay at it,Extrovert,Google it to see if someone else had the same idea,Get creative (sing/draw/dance),getting stuff done
none of these,More than 4,I'm okay at it,Extrovert,Share it with a friend,Work out,getting stuff done
sadness,Less than 1,I'm okay at it,Introvert,Draw it out,Relax,journaling
nervousness,1 - 2,I'm okay at it,Introvert,Write it down,Relax,getting stuff done
anger,1 - 2,Not very well at all,Introvert,Write it down,Get creative (sing/draw/dance),meditation/mindfulness
loneliness,2 - 3,I'm okay at it,Introvert,Write it down,Work out,volunteering/helping others
loneliness,More than 4,I'm okay at it,Introvert,Probably forget it lol,Work out,getting stuff done
loneliness,1 - 2,I'm okay at it,Introvert,Draw it out,Work out,journaling
nervousness,3 - 4,Not very well at all,Introvert,Share it with a friend,Check out social media,getting stuff done
nervousness,3 - 4,I'm okay at it,Introvert,Probably forget it lol,Check out social media,getting stuff done
loneliness,1 - 2,Not very well at all,Introvert,Google it to see if someone else had the same idea,Check out social media,taking a social media break
worry,1 - 2,Not very well at all,Introvert,Write it down,Work on my side hussle,getting stuff done
loneliness,1 - 2,I'm okay at it,Introvert,Write it down,Work out,meditation/mindfulness
sadness,3 - 4,I'm great at it,Extrovert,Draw it out,Work on my side hussle,journaling
nervousness,1 - 2,Not very well at all,Introvert,Google it to see if someone else had the same idea,Get creative (sing/draw/dance),hanging out with friends
loneliness,2 - 3,I'm okay at it,Introvert,Probably forget it lol,Sleep,meditation/mindfulness
sadness,More than 4,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Sleep,volunteering/helping others
none of these,1 - 2,I'm okay at it,Introvert,Write it down,Work out,meditation/mindfulness
nervousness,Less than 1,I'm great at it,Extrovert,Share it with a friend,Relax,hanging out with friends
sadness,3 - 4,Not very well at all,Introvert,Share it with a friend,Relax,meditation/mindfulness
nervousness,1 - 2,I'm okay at it,Extrovert,Google it to see if someone else had the same idea,Relax,hanging out with friends
worry,More than 4,I'm okay at it,Introvert,Write it down,Check out social media,hanging out with friends
loneliness,2 - 3,I'm okay at it,Introvert,Probably forget it lol,Relax,meditation/mindfulness
worry,More than 4,I'm great at it,Introvert,Something else,Relax,hanging out with friends
worry,1 - 2,I'm okay at it,Introvert,Something else,Work on my side hussle,getting stuff done
anger,2 - 3,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Work on my side hussle,volunteering/helping others
loneliness,1 - 2,I'm okay at it,Extrovert,Share it with a friend,Work out,hanging out with friends
loneliness,More than 4,I'm okay at it,Extrovert,Probably forget it lol,Check out social media,getting stuff done
worry,More than 4,I'm okay at it,Introvert,Something else,Relax,getting stuff done
worry,More than 4,Not very well at all,Introvert,Share it with a friend,Something else,hanging out with friends
sadness,2 - 3,I'm okay at it,Introvert,Write it down,Work out,meditation/mindfulness
loneliness,More than 4,I'm okay at it,Introvert,Probably forget it lol,Something else,getting stuff done
loneliness,1 - 2,I'm okay at it,Extrovert,Google it to see if someone else had the same idea,Work out,journaling
loneliness,2 - 3,I'm okay at it,Introvert,Draw it out,Get creative (sing/draw/dance),journaling
sadness,More than 4,Not very well at all,Introvert,Share it with a friend,Check out social media,hanging out with friends
worry,More than 4,I'm okay at it,Extrovert,Write it down,Get creative (sing/draw/dance),meditation/mindfulness
anger,1 - 2,I'm okay at it,Introvert,Write it down,Relax,hanging out with friends
anger,More than 4,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Relax,meditation/mindfulness
nervousness,More than 4,I'm great at it,Introvert,Probably forget it lol,Relax,getting stuff done
worry,More than 4,I'm okay at it,Introvert,Share it with a friend,Relax,hanging out with friends
nervousness,2 - 3,Not very well at all,Introvert,Share it with a friend,Work out,journaling
loneliness,1 - 2,I'm okay at it,Introvert,Share it with a friend,Work out,meditation/mindfulness
anger,Less than 1,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Relax,getting stuff done
none of these,Less than 1,I'm okay at it,Extrovert,Share it with a friend,Relax,journaling
sadness,2 - 3,I'm okay at it,Introvert,Write it down,Work out,meditation/mindfulness
loneliness,1 - 2,I'm great at it,Extrovert,Probably forget it lol,Check out social media,taking a social media break
worry,More than 4,I'm okay at it,Introvert,Write it down,Relax,meditation/mindfulness
anger,1 - 2,I'm okay at it,Introvert,Write it down,Relax,taking a social media break
nervousness,3 - 4,I'm great at it,Extrovert,Write it down,Get creative (sing/draw/dance),volunteering/helping others
nervousness,1 - 2,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Work on my side hussle,taking a social media break
loneliness,More than 4,I'm okay at it,Extrovert,Google it to see if someone else had the same idea,Relax,hanging out with friends
loneliness,1 - 2,I'm great at it,Extrovert,Share it with a friend,Work out,volunteering/helping others
none of these,1 - 2,I'm okay at it,Introvert,Write it down,Relax,hanging out with friends
worry,3 - 4,I'm okay at it,Introvert,Write it down,Sleep,meditation/mindfulness
worry,More than 4,I'm okay at it,Introvert,Write it down,Get creative (sing/draw/dance),journaling
loneliness,More than 4,I'm okay at it,Introvert,Share it with a friend,Relax,hanging out with friends
loneliness,1 - 2,I'm okay at it,Introvert,Probably forget it lol,Work out,meditation/mindfulness
none of these,More than 4,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Relax,hanging out with friends
worry,More than 4,I'm okay at it,Introvert,Write it down,Relax,meditation/mindfulness
worry,2 - 3,I'm okay at it,Introvert,Share it with a friend,Relax,hanging out with friends
anger,1 - 2,I'm okay at it,Extrovert,Draw it out,Relax,journaling
loneliness,1 - 2,Not very well at all,Introvert,Write it down,Sleep,meditation/mindfulness
sadness,2 - 3,Not very well at all,Introvert,Share it with a friend,Work on my side hussle,journaling
loneliness,2 - 3,I'm okay at it,Introvert,Probably forget it lol,Work on my side hussle,journaling
worry,1 - 2,I'm okay at it,Introvert,Write it down,Relax,getting stuff done
anger,More than 4,I'm okay at it,Introvert,Write it down,Sleep,meditation/mindfulness
anger,2 - 3,I'm okay at it,Introvert,Share it with a friend,Something else,hanging out with friends
worry,More than 4,Not very well at all,Introvert,Share it with a friend,Relax,taking a social media break
worry,More than 4,I'm okay at it,Introvert,Share it with a friend,Something else,getting stuff done
loneliness,3 - 4,I'm okay at it,Extrovert,Share it with a friend,Sleep,meditation/mindfulness
loneliness,1 - 2,I'm okay at it,Introvert,Probably forget it lol,Work out,meditation/mindfulness
nervousness,3 - 4,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Work out,journaling
worry,2 - 3,I'm okay at it,Introvert,Share it with a friend,Work on my side hussle,meditation/mindfulness
anger,2 - 3,I'm okay at it,Introvert,Write it down,Work out,meditation/mindfulness
sadness,1 - 2,I'm great at it,Introvert,Write it down,Get creative (sing/draw/dance),journaling
loneliness,1 - 2,I'm okay at it,Introvert,Share it with a friend,Work on my side hussle,hanging out with friends
worry,Less than 1,I'm okay at it,Introvert,Share it with a friend,Relax,hanging out with friends
sadness,2 - 3,I'm great at it,Introvert,Share it with a friend,Relax,hanging out with friends
sadness,Less than 1,I'm okay at it,Extrovert,Share it with a friend,Work out,getting stuff done
sadness,More than 4,Not very well at all,Introvert,Probably forget it lol,Check out social media,taking a social media break
sadness,1 - 2,I'm okay at it,Introvert,Draw it out,Work on my side hussle,meditation/mindfulness
worry,More than 4,I'm okay at it,Extrovert,Share it with a friend,Relax,taking a social media break
loneliness,1 - 2,I'm okay at it,Introvert,Draw it out,Relax,volunteering/helping others
loneliness,2 - 3,I'm okay at it,Introvert,Share it with a friend,Work out,taking a social media break
worry,1 - 2,Not very well at all,Introvert,Draw it out,Work out,journaling
loneliness,Less than 1,I'm okay at it,Introvert,Write it down,Check out social media,meditation/mindfulness
worry,1 - 2,I'm okay at it,Introvert,Probably forget it lol,Work on my side hussle,meditation/mindfulness
worry,More than 4,I'm okay at it,Extrovert,Share it with a friend,Relax,meditation/mindfulness
worry,More than 4,I'm okay at it,Introvert,Google it to see if someone else had the same idea,Relax,meditation/mindfulness
nervousness,3 - 4,Not very well at all,Introvert,Google it to see if someone else had the same idea,Check out social media,getting stuff done
loneliness,More than 4,I'm okay at it,Introvert,Share it with a friend,Work on my side hussle,meditation/mindfulness
none of these,1 - 2,I'm okay at it,Extrovert,Share it with a friend,Work on my side hussle,getting stuff done